ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
101.81.133.jja,2017-06-30,00:00:00,0.0,1608552.0,0001047469-17-004337,-index.htm,200.0,80251.0,1.0,0.0,0.0,9.0,0.0,
107.23.85.jfd,2017-06-30,00:00:00,0.0,1027281.0,0000898430-02-001167,-index.htm,200.0,2825.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:00,0.0,1136894.0,0000905148-07-003827,-index.htm,200.0,3021.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:00,0.0,1136894.0,0000905148-07-005350,-index.htm,200.0,2952.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:00,0.0,1136894.0,0000905148-07-003547,-index.htm,200.0,3061.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:00,0.0,841535.0,0000841535-10-000003,-index.htm,200.0,2716.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:00,0.0,1372211.0,0001371385-06-000003,-index.htm,200.0,2768.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:01,0.0,1372211.0,0001144204-06-036568,-index.htm,200.0,2772.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:01,0.0,1136894.0,0000905148-07-004108,-index.htm,200.0,2948.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:01,0.0,1027281.0,0001193125-04-067355,-index.htm,200.0,2861.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:01,0.0,1372211.0,0001351930-06-000042,-index.htm,200.0,2769.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:01,0.0,1136894.0,0000905148-07-005886,-index.htm,200.0,2985.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:01,0.0,841535.0,0000841535-05-000002,-index.htm,200.0,2715.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:02,0.0,1027281.0,0000930413-03-001723,-index.htm,200.0,2726.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:02,0.0,1372211.0,0001361234-06-000006,-index.htm,200.0,2761.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:02,0.0,1027281.0,0001193125-04-052715,-index.htm,200.0,2781.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:02,0.0,1027281.0,0001162318-03-000346,-index.htm,200.0,2737.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:03,0.0,1027281.0,0001125282-01-502758,-index.htm,200.0,2642.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:03,0.0,841535.0,0000841535-07-000003,-index.htm,200.0,2716.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:03,0.0,1372211.0,0001351930-07-000004,-index.htm,200.0,2756.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:03,0.0,841535.0,0000841535-06-000007,-index.htm,200.0,2722.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:04,0.0,1372211.0,0001019965-07-000162,-index.htm,200.0,2803.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:05,0.0,841535.0,0000841535-08-000004,-index.htm,200.0,2717.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jja,2017-06-30,00:00:05,0.0,1027281.0,0001193125-04-052717,-index.htm,200.0,2820.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jja,2017-06-30,00:00:05,0.0,1353083.0,0001068238-06-000177,-index.htm,200.0,2759.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:06,0.0,841535.0,0000841535-09-000003,-index.htm,200.0,2718.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jja,2017-06-30,00:00:06,0.0,1136894.0,0000905148-07-003904,-index.htm,200.0,2853.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-30,00:00:06,0.0,1136894.0,0000905148-07-004707,-index.htm,200.0,2960.0,1.0,0.0,0.0,10.0,0.0,
109.145.75.gge,2017-06-30,00:00:06,0.0,725363.0,0001236031-06-000018,primary_doc.xml,200.0,1470.0,0.0,0.0,0.0,10.0,0.0,
109.145.75.gge,2017-06-30,00:00:06,0.0,746598.0,0001345100-06-000317,edgar.xml,200.0,1696.0,0.0,0.0,0.0,10.0,0.0,
109.145.75.gge,2017-06-30,00:00:06,0.0,352915.0,0001181431-06-052579,-index.htm,200.0,2878.0,1.0,0.0,0.0,10.0,0.0,
109.145.75.gge,2017-06-30,00:00:07,0.0,725363.0,0001236031-06-000019,xslF345X02/primary_doc.xml,200.0,3539.0,0.0,0.0,0.0,10.0,0.0,
109.145.75.gge,2017-06-30,00:00:07,0.0,746598.0,0001345100-06-000318,xslF345X02/edgar.xml,200.0,3770.0,0.0,0.0,0.0,10.0,0.0,
109.145.75.gge,2017-06-30,00:00:07,0.0,108985.0,0000108985-06-000074,xslF345X02/primary_doc.xml,200.0,3586.0,0.0,0.0,0.0,10.0,0.0,
109.145.75.gge,2017-06-30,00:00:07,0.0,352915.0,0001181431-06-052579,xslF345X02/rrd130175.xml,200.0,3723.0,0.0,0.0,0.0,10.0,0.0,
109.145.75.gge,2017-06-30,00:00:08,0.0,1255821.0,0001369224-06-000002,-index.htm,200.0,2751.0,1.0,0.0,0.0,10.0,0.0,
109.145.75.gge,2017-06-30,00:00:08,0.0,725363.0,0001236031-06-000019,-index.htm,200.0,2812.0,1.0,0.0,0.0,10.0,0.0,
109.145.75.gge,2017-06-30,00:00:08,0.0,1228055.0,0001228055-06-000002,primary_doc.xml,200.0,1244.0,0.0,0.0,0.0,10.0,0.0,
109.145.75.gge,2017-06-30,00:00:08,0.0,746598.0,0001345100-06-000318,-index.htm,200.0,2823.0,1.0,0.0,0.0,10.0,0.0,
115.111.60.idd,2017-06-30,00:00:08,0.0,109563.0,0000109563-17-000076,-index.htm,200.0,10733.0,1.0,0.0,0.0,10.0,0.0,
115.111.60.idd,2017-06-30,00:00:09,0.0,109563.0,0000109563-17-000076,-index.htm,301.0,288.0,1.0,0.0,1.0,10.0,0.0,
116.226.185.ceb,2017-06-30,00:00:09,0.0,858446.0,0001191638-09-000211,-index.htm,200.0,6634.0,1.0,0.0,0.0,10.0,0.0,
117.91.231.fjf,2017-06-30,00:00:10,0.0,1053092.0,0000950103-17-006275,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.231.fjf,2017-06-30,00:00:10,0.0,831001.0,0000950103-17-006267,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.231.fjf,2017-06-30,00:00:10,0.0,312070.0,0001193125-17-218445,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.231.fjf,2017-06-30,00:00:10,0.0,1100663.0,0001193125-17-218506,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.231.fjf,2017-06-30,00:00:10,0.0,1053092.0,0000950103-17-006266,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.231.fjf,2017-06-30,00:00:10,0.0,1053092.0,0000950103-17-006247,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.231.fjf,2017-06-30,00:00:10,0.0,1100663.0,0001193125-17-218506,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.231.gge,2017-06-30,00:00:10,0.0,831001.0,0000950103-17-006267,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.231.gge,2017-06-30,00:00:10,0.0,1515156.0,0001515156-17-000082,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.231.fjf,2017-06-30,00:00:10,0.0,831001.0,0000950103-17-006303,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
